Protein,Delta_RMSD_loss,Delta_Steric_loss,Delta_Angle_Dev_loss
Tca01g01845.t1,-0.028,-10.24,0.003
Tca01g01846.t1,-0.036,-10.851,0.01
Tca01g01847.t1,-0.093,-0.491,0.013
Tca01g01848.t1,-0.028,-3.208,0.004
Tca01g01849.t1,-0.037,-4.081,0.004
Tca01g01850.t1,-0.039,-7.061,0.005
Tca01g01851.t1,-0.039,-2.287,0.007
Tca01g01853.t1,-0.02,-4.178,0.002
Tca01g01854.t1,-0.027,-22.142,0.003
Tca01g01855.t1,-0.026,-22.778,0.003
Tca01g01856.t1,-0.024,-9.833,0.002
Tca01g01857.t1,-0.02,-29.263,0.002
Tca01g01858.t1,-0.038,-4.357,0.006
Tca01g01859.t1,-0.028,-22.573,0.003
Tca01g01860.t1,-0.065,-1.208,0.008
Tca01g01861.t1,-0.008,-7.999,0.004
Tca01g01862.t1,-0.031,-3.164,0.002
Tca01g01863.t1,-0.042,-3.155,0.004
Tca01g01864.t1,-0.031,-4.513,0.002
Tca01g01343.t2,-0.058,-9.619,0.006
Tca01g01344.t1,-0.024,-190.791,0.013
Tca01g01345.t1,-0.054,-0.43,0.008
Tca01g01346.t1,-0.06,-0.69,0.008
Tca01g01347.t1,-0.029,-5.315,0.005
Tca01g01348.t1,-0.056,-3.119,0.011
Tca01g01409.t1,-0.021,-13.646,0.002
Tca01g01410.t1,-0.067,-12.577,0.005
Tca01g01411.t1,-0.029,-2.615,0.002
Tca01g01412.t1,-0.027,-259.495,0.01
Tca01g01412.t2,-0.019,-242.483,0.007
Tca01g01412.t3,-0.017,-289.988,0.01
Tca01g01412.t4,-0.013,-170.963,0.008
Tca01g01412.t5,-0.032,-173.628,0.006
Tca01g01412.t6,-0.036,-130.377,0.006
Tca01g01412.t7,-0.01,-535.156,0.016
Tca01g01413.t1,-0.027,-4.084,0.002
Tca01g01414.t1,-0.042,-2.719,0.006
Tca01g01431.t1,-0.034,-0.289,0.003
Tca01g01432.t1,-0.039,-10.05,0.005
Tca01g01433.t1,-0.042,-0.058,0.004
Tca01g01434.t1,-0.036,-2.755,0.008
Tca01g01435.t1,-0.031,-1.827,0.002
Tca01g01436.t1,-0.023,-2.698,0.003
Tca01g01437.t1,-0.053,-3.63,0.01
Tca01g01438.t1,-0.042,-3.765,0.007
Tca01g01439.t1,-0.04,-3.899,0.004
Tca01g01440.t1,-0.03,-10.614,0.002
Tca01g01441.t1,-0.06,-5.076,0.01
Tca01g01442.t1,-0.028,-3.839,0.003
Tca01g01442.t2,-0.033,-4.381,0.004
Tca01g01273.t1,-0.036,-2.415,0.002
Tca01g01274.t1,-0.036,-7.174,0.002
Tca01g01275.t1,-0.065,-4.591,0.006
Tca01g01276.t1,-0.034,-7.189,0.003
Tca01g01277.t1,-0.032,-1.975,0.002
Tca01g01278.t1,-0.009,-8.654,0.004
Tca01g01233.t1,-0.024,-4.416,0.001
Tca01g01234.t1,-0.054,-1.733,0.008
Tca01g01235.t1,-0.04,-7.727,0.008
Tca01g01236.t1,-0.073,-3.47,0.011
Tca01g01237.t1,-0.023,-18.306,0.002
Tca01g01238.t1,-0.026,-15.387,0.003
Tca01g01240.t1,-0.034,-4.956,0.002
Tca01g01241.t1,-0.027,-3.979,0.003
Tca01g01242.t1,-0.096,-0.26,0.012
Tca01g01243.t1,-0.026,-11.681,0.002
Tca01g01244.t1,-0.026,-1.094,0.003
Tca01g01245.t1,-0.035,-7.846,0.002
Tca01g01246.t1,-0.018,-4.51,0.009
Tca01g01247.t1,-0.015,-6.174,0.004
Tca01g01248.t1,-0.037,-4.749,0.003
Tca01g01249.t1,-0.028,-0.771,0.005
Tca01g01250.t1,-0.028,-4.238,0.002
Tca01g01251.t1,-0.029,-4.743,0.002
Tca01g01253.t1,-0.044,-2.69,0.007
Tca01g01254.t1,-0.029,-25.92,0.004
Tca01g01255.t1,-0.039,-6.45,0.002
Tca01g01255.t2,-0.034,-4.362,0.002
Tca01g01256.t1,-0.029,-4.426,0.007
Tca01g01257.t1,-0.034,-1.621,0.003
Tca01g01258.t1,-0.046,-15.159,0.004
Tca01g01259.t1,-0.034,-4.348,0.003
Tca01g01260.t1,-0.032,-7.426,0.002
Tca01g01261.t1,-0.015,-6.932,0.002
Tca01g01262.t1,-0.04,-3.098,0.003
Tca01g01263.t1,-0.032,-3.461,0.002
Tca01g01264.t2,-0.055,-5.91,0.009
Tca01g01265.t1,-0.032,-4.182,0.004
Tca01g01266.t1,-0.02,-16.124,0.003
Tca01g01267.t1,-0.065,-14.485,0.006
Tca01g01267.t2,-0.056,-10.349,0.006
Tca01g01268.t1,-0.057,-13.744,0.006
Tca01g01269.t1,-0.032,-9.818,0.002
Tca01g01270.t1,-0.043,-6.352,0.002
Tca01g01271.t1,-0.042,-7.376,0.003
Tca01g01272.t1,-0.033,-2.269,0.002
Tca01g01264.t1,-0.064,-1.904,0.01
Tca01g01279.t1,-0.025,-1.394,0.002
Tca01g01286.t1,-0.019,-3.443,0.002
Tca01g01293.t1,-0.026,-5.384,0.002
Tca01g01299.t1,-0.042,-0.586,0.006
Tca01g01324.t1,-0.048,-0.783,0.005
Tca01g01338.t1,-0.1,-38.322,0.011
Tca01g01696.t1,-0.069,-0.69,0.013
Tca01g01697.t1,-0.062,-1.884,0.006
Tca01g01698.t1,-0.062,-2.345,0.008
Tca01g01699.t1,-0.037,-4.961,0.003
Tca01g01700.t1,-0.047,-2.258,0.007
Tca01g01701.t1,-0.054,-1.31,0.008
Tca01g01703.t1,-0.029,-3.703,0.004
Tca01g01704.t1,-0.022,-1.652,0.007
Tca01g01705.t1,-0.054,-6.387,0.008
Tca01g01706.t1,-0.058,-0.693,0.006
Tca01g01707.t1,-0.024,-8.175,0.006
Tca01g01708.t1,-0.053,-9.661,0.006
Tca01g01725.t1,-0.025,-3.47,0.003
Tca01g01726.t1,-0.029,-10.529,0.003
Tca01g01727.t1,-0.029,-26.979,0.004
Tca01g01728.t1,-0.031,-4.693,0.003
Tca01g01729.t1,-0.033,-0.531,0.004
Tca01g01730.t1,-0.03,-9.147,0.003
Tca01g01709.t1,-0.04,-6.947,0.008
Tca01g01710.t1,-0.06,-6.382,0.004
Tca01g01710.t2,-0.06,-6.039,0.004
Tca01g01711.t1,-0.031,-3.202,0.002
Tca01g01712.t1,-0.066,-3.52,0.007
Tca01g01713.t1,-0.047,-1.822,0.003
Tca01g01778.t1,-0.087,-0.609,0.019
Tca01g01789.t2,-0.045,-4.121,0.007
Tca01g01802.t1,-0.064,-0.774,0.008
Tca01g01815.t1,-0.018,-9.048,0.002
Tca01g01838.t1,-0.06,-16.546,0.004
Tca01g01852.t1,-0.11,-0.37,0.013
Tca01g01865.t1,-0.007,-13.242,0.006
Tca01g01877.t1,-0.025,-6.605,0.002
Tca01g01890.t1,-0.03,-4.335,0.002
Tca01g01913.t1,-0.041,-4.637,0.005
Tca01g01715.t1,-0.028,-7.103,0.002
Tca01g01716.t1,-0.029,-1.595,0.003
Tca01g01717.t1,-0.026,-6.657,0.002
Tca01g01718.t1,-0.049,-0.702,0.003
Tca01g01719.t1,-0.016,-5.738,0.003
Tca01g01720.t1,-0.091,-59.256,0.01
Tca01g01721.t1,-0.075,-79.1,0.01
Tca01g01721.t2,-0.083,-94.704,0.01
Tca01g01722.t1,-0.06,-0.368,0.004
Tca01g01723.t1,-0.029,-1.936,0.003
Tca01g01724.t1,-0.083,-72.607,0.012
Tca01g00361.t1,-0.056,-26.858,0.007
Tca01g00362.t1,-0.067,-12.115,0.005
Tca01g00363.t1,-0.049,-3.848,0.006
Tca01g00364.t1,-0.034,-7.55,0.003
Tca01g00364.t2,-0.035,-5.819,0.003
Tca01g00365.t1,-0.036,-2.815,0.004
Tca01g00366.t1,-0.033,-2.168,0.003
Tca01g00367.t1,-0.066,-36.983,0.007
Tca01g00368.t1,-0.032,-7.27,0.003
Tca01g00369.t1,-0.032,-8.386,0.003
Tca01g00370.t1,-0.069,-2.233,0.009
Tca01g00371.t1,-0.044,-0.429,0.004
Tca01g00372.t1,-0.041,-0.497,0.007
Tca01g00831.t1,-0.032,-2.923,0.004
Tca01g00831.t2,-0.04,-1.981,0.004
Tca01g00832.t1,-0.044,-7.731,0.004
Tca01g00833.t1,-0.081,-3.235,0.011
Tca01g00834.t1,-0.055,-0.075,0.006
Tca01g00835.t1,-0.012,-9.234,0.012
Tca01g00837.t1,-0.046,-2.002,0.006
Tca01g00838.t1,-0.046,-4.208,0.008
Tca01g00839.t1,-0.019,-7.574,0.006
Tca01g00840.t1,-0.061,-5.232,0.006
Tca01g00841.t1,-0.081,-4.07,0.011
Tca01g00842.t1,-0.015,-1.505,0.004
Tca01g00843.t1,-0.055,-5.542,0.004
Tca01g00844.t1,-0.051,-0.881,0.008
Tca01g00845.t1,-0.041,-3.327,0.006
Tca01g00846.t1,-0.031,-2.16,0.002
Tca01g00846.t2,-0.03,-2.265,0.002
Tca01g00846.t3,-0.029,-2.211,0.002
Tca01g00847.t1,-0.023,-2.142,0.002
Tca01g01037.t1,-0.027,-8.431,0.002
Tca01g01038.t1,-0.046,-10.258,0.004
Tca01g01039.t1,-0.045,-0.785,0.009
Tca01g01040.t1,-0.048,-3.972,0.005
Tca01g01040.t2,-0.045,-19.639,0.005
Tca01g01041.t1,-0.048,-8.577,0.004
Tca01g01043.t1,-0.052,-1.999,0.005
Tca01g01043.t2,-0.043,-5.384,0.006
Tca01g01044.t1,-0.046,-4.023,0.004
Tca01g01045.t1,-0.028,-2.84,0.004
Tca01g01046.t1,-0.043,-1.056,0.005
Tca01g01047.t1,-0.04,-0.555,0.006
Tca01g01048.t1,-0.018,-1.979,0.006
Tca01g01049.t1,-0.022,-6.205,0.002
Tca01g01050.t1,-0.033,-3.25,0.003
Tca01g01051.t1,-0.03,-0.726,0.007
Tca01g01052.t1,-0.035,-8.292,0.002
Tca01g01053.t1,-0.036,-1.422,0.003
Tca01g01084.t1,-0.07,-6.247,0.007
Tca01g01085.t1,-0.061,-5.169,0.005
Tca01g01086.t1,-0.013,-3.783,0.005
Tca01g01087.t1,-0.079,-1.786,0.012
Tca01g01088.t1,-0.037,-16.292,0.007
Tca01g01089.t1,-0.016,-1.699,0.006
Tca01g01090.t1,-0.026,-12.191,0.002
Tca01g01091.t1,-0.052,-4.329,0.005
Tca01g01092.t1,-0.042,-9.608,0.002
Tca01g01093.t1,-0.022,-6.91,0.002
Tca01g01094.t1,-0.022,-2.35,0.002
Tca01g01095.t1,-0.073,-11.226,0.007
Tca01g01096.t1,-0.064,-7.649,0.008
Tca01g01097.t1,-0.075,-6.255,0.009
Tca01g01147.t1,-0.044,-5.33,0.002
Tca01g01147.t2,-0.043,-5.999,0.003
Tca01g01148.t1,-0.033,-2.462,0.002
Tca01g01149.t1,-0.022,-5.088,0.002
Tca01g01150.t1,-0.044,-1.099,0.008
Tca01g01151.t1,-0.047,-3.962,0.005
Tca01g01104.t1,-0.027,-4.995,0.002
Tca01g01105.t1,-0.055,-16.369,0.004
Tca01g01106.t1,-0.028,-2.178,0.006
Tca01g01107.t1,-0.023,-2.218,0.004
Tca01g01108.t1,-0.06,-8.367,0.005
Tca01g01109.t1,-0.049,-12.074,0.003
Tca01g01110.t1,-0.054,-2.234,0.004
Tca01g01111.t1,-0.065,-3.907,0.005
Tca01g01112.t1,-0.026,-23.235,0.011
Tca01g01113.t1,-0.05,-32.817,0.005
Tca01g01114.t1,-0.033,-1.927,0.003
Tca01g01115.t1,-0.031,-1.784,0.002
Tca01g00678.t1,-0.019,-31.352,0.004
Tca01g00679.t1,-0.016,-41.916,0.004
Tca01g00680.t1,-0.053,-23.774,0.005
Tca01g00681.t1,-0.028,-4.047,0.003
Tca01g00682.t1,-0.053,-12.954,0.005
Tca01g00683.t1,-0.024,-12.18,0.003
Tca01g00685.t1,-0.025,-20.003,0.002
Tca01g00686.t1,-0.043,-7.266,0.004
Tca01g00687.t1,-0.029,-3.124,0.003
Tca01g00688.t1,-0.027,-1.728,0.003
Tca01g00689.t1,-0.038,-2.721,0.003
Tca01g00690.t1,-0.049,-2.207,0.006
Tca01g00691.t1,-0.031,-1.64,0.003
Tca01g00692.t1,-0.08,-3.592,0.013
Tca01g00693.t1,-0.036,-0.788,0.005
Tca01g00694.t1,-0.07,-14.556,0.008
Tca01g00695.t1,-0.053,-5.329,0.003
Tca01g00696.t1,-0.022,-7.806,0.003
Tca01g00061.t1,-0.021,-1.397,0.011
Tca01g00062.t1,-0.046,-2.078,0.004
Tca01g00063.t1,-0.036,-2.483,0.004
Tca01g00064.t1,-0.015,-21.345,0.003
Tca01g00065.t1,-0.03,-4.24,0.002
Tca01g00066.t1,-0.06,-0.176,0.005
Tca01g00068.t1,-0.029,-3.061,0.004
Tca01g00069.t1,-0.039,-15.438,0.005
Tca01g00070.t1,-0.03,-6.899,0.002
Tca01g00071.t1,-0.027,-2.774,0.002
Tca01g00072.t1,-0.054,-3.988,0.007
Tca01g00073.t1,-0.027,-7.388,0.002
Tca01g00074.t1,-0.067,-22.642,0.006
Tca01g00075.t1,-0.036,-2.496,0.004
Tca01g00076.t1,-0.069,-3.253,0.007
Tca01g00077.t1,-0.04,-11.619,0.003
Tca01g00078.t1,-0.047,-7.549,0.004
Tca01g00078.t2,-0.042,-8.972,0.004
Tca01g00080.t1,-0.05,-1.194,0.005
Tca01g00081.t1,-0.023,-2.416,0.002
Tca01g00082.t1,-0.024,-12.7,0.002
Tca01g00083.t1,-0.059,-1.658,0.006
Tca01g00084.t1,-0.057,-2.124,0.006
Tca01g00085.t1,-0.06,-7.409,0.008
Tca01g00086.t1,-0.022,-3.449,0.004
Tca01g00087.t1,-0.038,-1.521,0.005
Tca01g00087.t2,-0.04,-1.62,0.004
Tca01g00088.t1,-0.065,-2.813,0.011
Tca01g00089.t1,-0.037,-2.232,0.009
Tca01g00090.t1,-0.036,-5.431,0.004
Tca01g00091.t1,-0.029,-2.284,0.003
Tca01g00959.t1,-0.026,-1.475,0.004
Tca01g00960.t1,-0.02,-5.073,0.002
Tca01g00961.t1,-0.047,-3.81,0.004
Tca01g00962.t1,-0.057,-4.212,0.006
Tca01g00962.t2,-0.044,-2.557,0.003
Tca01g00963.t1,-0.07,-38.362,0.005
Tca01g00965.t1,-0.03,-1.429,0.003
Tca01g00966.t1,-0.025,-0.265,0.003
Tca01g00967.t1,-0.049,-19.676,0.005
Tca01g00968.t1,-0.04,-11.125,0.004
Tca01g00969.t1,-0.039,-0.66,0.005
Tca01g00970.t1,-0.018,-10.183,0.003
Tca01g00144.t1,-0.029,-6.392,0.002
Tca01g00145.t1,-0.036,-1.732,0.003
Tca01g00146.t1,-0.027,-3.961,0.001
Tca01g00147.t1,-0.051,-45.022,0.007
Tca01g00148.t1,-0.021,-8.968,0.002
Tca01g00149.t1,-0.024,-7.745,0.002
Tca01g00151.t1,-0.057,-43.281,0.004
Tca01g00152.t1,-0.029,-12.801,0.002
Tca01g00152.t2,-0.03,-14.895,0.003
Tca01g00153.t1,-0.025,-17.815,0.002
Tca01g00154.t1,-0.059,-26.107,0.004
Tca01g00155.t1,-0.034,-3.753,0.003
Tca01g00209.t1,-0.017,-12.809,0.003
Tca01g00210.t1,-0.023,-4.364,0.002
Tca01g00211.t1,-0.021,-9.243,0.002
Tca01g00212.t1,-0.035,-0.715,0.007
Tca01g00213.t1,-0.043,-3.784,0.003
Tca01g00214.t1,-0.047,-7.563,0.008
Tca01g00202.t1,-0.041,-5.992,0.004
Tca01g00203.t1,-0.028,-6.27,0.002
Tca01g00204.t1,-0.127,-24.108,0.009
Tca01g00205.t1,-0.037,-6.956,0.012
Tca01g00206.t1,-0.024,-5.934,0.002
Tca01g00207.t1,-0.019,-12.839,0.002
Tca01g00208.t1,-0.027,-5.036,0.002
Tca01g00419.t1,-0.032,-3.08,0.003
Tca01g00420.t1,-0.032,-11.108,0.003
Tca01g00421.t1,-0.003,-11.408,0.004
Tca01g00422.t1,-0.031,-2.358,0.002
Tca01g00423.t1,-0.011,-4.957,0.003
Tca01g00424.t1,-0.016,-5.52,0.002
Tca01g00426.t1,-0.081,-8.379,0.007
Tca01g00427.t1,-0.047,-0.09,0.005
Tca01g00428.t1,-0.054,-0.051,0.007
Tca01g00429.t1,-0.056,-0.617,0.006
Tca01g00430.t1,-0.054,-0.491,0.006
Tca01g00431.t1,-0.046,-0.651,0.005
Tca01g02025.t1,-0.031,-3.585,0.002
Tca01g02026.t1,-0.051,-0.51,0.005
Tca01g02027.t1,-0.029,-0.42,0.002
Tca01g02028.t1,-0.03,-1.096,0.003
Tca01g02029.t1,-0.046,-5.276,0.003
Tca01g02030.t1,-0.023,-5.649,0.002
Tca01g01968.t1,-0.103,-4.106,0.011
Tca01g01969.t1,-0.027,-1.244,0.004
Tca01g01970.t1,-0.033,-0.561,0.002
Tca01g01970.t2,-0.036,-1.561,0.002
Tca01g01971.t1,-0.042,-1.022,0.008
Tca01g01972.t1,-0.051,-2.368,0.009
Tca01g00525.t1,-0.045,-1.388,0.005
Tca01g00526.t1,-0.013,-41.301,0.004
Tca01g00527.t1,-0.035,-1.3,0.003
Tca01g00528.t1,-0.027,-6.464,0.002
Tca01g00529.t1,-0.035,-2.286,0.004
Tca01g00530.t1,-0.025,-2.282,0.002
Tca01g00554.t1,-0.035,-0.729,0.003
Tca01g00555.t1,-0.026,-9.782,0.002
Tca01g00556.t1,-0.026,-9.334,0.002
Tca01g00557.t1,-0.024,-11.226,0.002
Tca01g00558.t1,-0.031,-1.808,0.002
Tca01g00559.t1,-0.014,-5.565,0.002
Tca01g00561.t1,-0.024,-3.166,0.003
Tca01g00562.t1,-0.029,-1.768,0.002
Tca01g00563.t1,-0.036,-17.228,0.004
Tca01g00564.t1,-0.047,-1.8,0.005
Tca01g00565.t1,-0.043,-8.293,0.003
Tca01g00566.t1,-0.03,-3.877,0.002
Tca01g00567.t1,-0.029,-7.203,0.002
Tca01g00568.t1,-0.043,-1.393,0.004
Tca01g00569.t1,-0.045,-6.023,0.004
Tca01g00570.t1,-0.038,-7.905,0.004
Tca01g00571.t1,-0.083,-4.252,0.015
Tca01g00572.t1,-0.023,-9.61,0.003
Tca01g00573.t1,-0.03,-4.42,0.002
Tca01g00575.t1,-0.02,-23.812,0.002
Tca01g00576.t1,-0.015,-20.588,0.002
Tca01g00577.t1,-0.024,-8.593,0.002
Tca01g00578.t1,-0.028,-4.407,0.002
Tca01g00579.t1,-0.038,-3.744,0.006
Tca01g00580.t1,-0.057,-2.42,0.006
Tca01g00581.t1,-0.025,-2.461,0.002
Tca01g00582.t1,-0.01,-22.354,0.004
Tca01g00583.t1,-0.043,-4.175,0.008
Tca01g00584.t1,-0.028,-5.302,0.011
Tca01g00585.t1,-0.033,-10.247,0.004
Tca01g00586.t1,-0.027,-98.301,0.007
Tca01g00588.t1,-0.033,-3.272,0.003
Tca01g00589.t1,-0.041,-2.696,0.005
Tca01g00590.t1,-0.054,-6.659,0.004
Tca01g00590.t2,-0.053,-10.582,0.005
Tca01g00591.t1,-0.059,-0.342,0.004
Tca01g00592.t1,-0.057,-0.708,0.005
Tca01g00482.t1,-0.034,-3.053,0.005
Tca01g00495.t1,-0.028,-6.713,0.007
Tca01g00512.t1,-0.019,-5.112,0.002
Tca01g00524.t1,-0.031,-3.44,0.002
Tca01g00537.t1,-0.036,-1.009,0.003
Tca01g00560.t1,-0.021,-4.635,0.004
Tca01g00574.t1,-0.025,-19.145,0.002
Tca01g00587.t1,-0.032,-2.326,0.009
Tca01g00599.t1,-0.047,-11.199,0.004
Tca01g00610.t1,-0.025,-3.357,0.002
Tca01g00623.t1,-0.026,-2.332,0.002
Tca01g00432.t1,-0.056,-0.589,0.005
Tca01g00433.t1,-0.025,-1.899,0.003
Tca01g00434.t1,-0.056,-0.588,0.005
Tca01g00435.t1,-0.016,-6.411,0.002
Tca01g00436.t1,-0.026,-1.513,0.002
Tca01g00437.t1,-0.028,-1.506,0.002
Tca01g02161.t1,-0.034,-4.242,0.003
Tca01g02162.t1,-0.06,-1.483,0.006
Tca01g02163.t1,-0.005,-32.898,0.006
Tca01g02164.t1,-0.068,-14.41,0.007
Tca01g02164.t2,-0.074,-14.253,0.006
Tca01g02165.t1,-0.08,-1.407,0.015
Tca01g02167.t1,-0.031,-0.732,0.003
Tca01g02168.t1,-0.032,-0.745,0.003
Tca01g02169.t1,-0.026,-1.786,0.004
Tca01g02170.t1,-0.014,-15.084,0.003
Tca01g02171.t1,-0.021,-14.168,0.002
Tca01g02172.t1,-0.016,-11.373,0.003
Tca01g02174.t1,-0.015,-6.122,0.007
Tca01g02175.t1,-0.034,-1.148,0.007
Tca01g02176.t1,-0.023,-10.94,0.002
Tca01g02177.t1,-0.022,-14.958,0.002
Tca01g02178.t1,-0.049,-4.761,0.004
Tca01g02179.t1,-0.037,-3.595,0.003
Tca01g02180.t1,-0.04,-0.782,0.002
Tca01g02376.t1,-0.039,-2.442,0.004
Tca01g02377.t1,-0.038,-5.799,0.005
Tca01g02378.t1,-0.064,-5.128,0.011
Tca01g02379.t1,-0.065,-12.853,0.009
Tca01g02380.t1,-0.024,-5.386,0.002
Tca01g02381.t1,-0.037,-2.194,0.003
Tca01g02216.t1,-0.028,-1.134,0.005
Tca01g02217.t1,-0.023,-1.737,0.004
Tca01g02218.t1,-0.032,-4.212,0.003
Tca01g02219.t1,-0.037,-0.268,0.005
Tca01g02220.t1,-0.032,-1.009,0.004
Tca01g02221.t1,-0.037,-0.282,0.005
Tca01g02223.t1,-0.035,-0.22,0.006
Tca01g02224.t1,-0.033,-0.542,0.006
Tca01g02225.t1,-0.036,-0.83,0.003
Tca01g02226.t1,-0.024,-2.63,0.003
Tca01g02227.t1,-0.035,-1.001,0.004
Tca01g02228.t1,-0.034,-6.206,0.002
Tca01g02229.t1,-0.044,-0.465,0.005
Tca01g02254.t1,-0.082,-0.154,0.004
Tca01g02255.t1,-0.082,-0.133,0.004
Tca01g02256.t1,-0.016,-21.075,0.003
Tca01g02257.t1,-0.067,-0.086,0.005
Tca01g02258.t1,-0.049,-0.529,0.006
Tca01g02259.t1,-0.097,-0.139,0.018
Tca01g02261.t1,-0.089,-0.397,0.007
Tca01g02262.t1,-0.031,-2.11,0.005
Tca01g02263.t1,-0.019,-8.133,0.003
Tca01g02264.t1,-0.033,-5.112,0.002
Tca01g02265.t1,-0.017,-28.963,0.004
Tca01g02266.t1,-0.02,-26.569,0.003
Tca01g01596.t1,-0.028,-7.06,0.002
Tca01g01597.t1,-0.022,-20.078,0.003
Tca01g01598.t1,-0.048,-8.638,0.004
Tca01g01599.t1,-0.033,-12.112,0.003
Tca01g01600.t1,-0.027,-3.687,0.003
Tca01g01601.t1,-0.033,-17.759,0.004
Tca01g01603.t1,-0.061,-2.873,0.007
Tca01g01604.t1,-0.016,-27.095,0.003
Tca01g01605.t1,-0.058,-4.211,0.009
Tca01g01606.t1,-0.05,-5.335,0.009
Tca01g01607.t1,-0.039,-2.674,0.002
Tca01g01607.t2,-0.04,-2.04,0.003
Tca01g01608.t1,-0.014,-20.086,0.003
Tca01g01609.t1,-0.044,-1.04,0.005
Tca01g01610.t1,-0.014,-27.784,0.002
Tca01g01611.t1,-0.04,-5.039,0.008
Tca01g01612.t1,-0.023,-1.358,0.003
Tca01g01613.t1,-0.058,-2.188,0.01
Tca01g02043.t1,-0.024,-2.263,0.003
Tca01g02044.t1,-0.025,-5.26,0.003
Tca01g02045.t1,-0.028,-0.409,0.003
Tca01g02046.t1,-0.005,-42.216,0.005
Tca01g02047.t1,-0.027,-8.202,0.003
Tca01g02048.t1,-0.023,-10.735,0.003
Tca01g02075.t1,-0.029,-14.513,0.002
Tca01g02076.t1,-0.049,-0.15,0.005
Tca01g02077.t1,-0.024,-6.919,0.002
Tca01g02078.t1,-0.073,-7.887,0.007
Tca01g02078.t2,-0.074,-10.451,0.007
Tca01g02079.t1,-0.031,-6.037,0.002
Tca01g02079.t2,-0.031,-6.386,0.002
Tca01g02080.t1,-0.035,-2.471,0.005
Tca01g02081.t1,-0.047,-0.685,0.009
Tca01g02082.t1,-0.046,-0.06,0.005
Tca01g02083.t1,0.011,-7.571,0.008
Tca01g02084.t1,0.003,-9.158,0.01
Tca01g02147.t1,-0.02,-6.278,0.001
Tca01g02160.t1,0.011,-23.878,0.008
Tca01g02166.t1,-0.019,-15.434,0.004
Tca01g02173.t1,-0.022,-8.486,0.002
Tca01g02181.t1,-0.026,-1.588,0.003
Tca01g02188.t1,-0.025,-17.509,0.006
Tca01g02203.t1,-0.035,-1.059,0.005
Tca01g02209.t1,-0.038,-5.16,0.005
Tca01g02222.t1,-0.033,-2.796,0.005
Tca01g02235.t1,-0.044,-0.431,0.005
Tca01g02245.t3,-0.066,-21.395,0.006
Tca01g02086.t1,-0.032,-15.281,0.003
Tca01g02087.t1,-0.046,-0.741,0.012
Tca01g02088.t1,0.003,-7.264,0.01
Tca01g02089.t1,-0.027,-0.291,0.003
Tca01g02090.t1,-0.045,-6.78,0.005
Tca01g02091.t1,-0.063,-0.565,0.006
Tca01g02092.t1,-0.029,-16.769,0.003
Tca01g02093.t1,-0.07,-3.923,0.012
Tca01g02094.t1,-0.039,-3.364,0.004
Tca01g02095.t1,-0.038,-1.191,0.005
Tca01g02095.t2,-0.038,-0.789,0.003
Tca01g02095.t3,-0.04,-0.617,0.004
Tca01g02096.t1,-0.038,-1.198,0.006
Tca01g02098.t1,-0.015,-47.26,0.007
Tca01g02099.t1,-0.061,-2.799,0.01
Tca01g02100.t1,-0.051,-2.819,0.009
Tca01g02101.t1,-0.075,-1.346,0.013
Tca01g02102.t1,-0.06,-0.957,0.013
Tca01g02103.t1,-0.003,-11.561,0.006
Tca01g02104.t1,-0.04,-3.112,0.004
Tca01g02104.t2,-0.039,-3.143,0.004
Tca01g02105.t1,-0.02,-8.209,0.002
Tca01g02106.t1,-0.055,-6.032,0.004
Tca01g02107.t1,-0.071,-11.985,0.005
Tca01g02108.t1,-0.033,-4.408,0.002
Tca01g02109.t1,-0.04,-0.808,0.004
Tca01g02111.t1,-0.049,-4.078,0.007
Tca01g02112.t1,-0.033,-7.257,0.005
Tca01g02113.t1,-0.026,-1.66,0.002
Tca01g02114.t1,-0.035,-2.628,0.002
Tca01g02115.t1,-0.047,-5.218,0.004
Tca01g02116.t1,-0.018,-5.735,0.003
Tca01g02117.t1,-0.025,-4.145,0.002
Tca01g02118.t1,-0.033,-5.193,0.003
Tca01g02119.t1,-0.039,-4.708,0.005
Tca01g02120.t1,-0.044,-3.538,0.003
Tca01g02120.t2,-0.031,-4.981,0.003
Tca01g02121.t1,-0.031,-5.027,0.003
Tca01g01547.t1,-0.014,-7.804,0.003
Tca01g01548.t1,-0.016,-9.438,0.003
Tca01g01549.t1,-0.02,-8.261,0.002
Tca01g01550.t1,-0.045,-1.815,0.004
Tca01g01551.t1,-0.032,-2.842,0.002
Tca01g01552.t1,-0.035,-2.148,0.002
Tca01g01553.t2,-0.032,-0.454,0.003
Tca01g01554.t1,-0.029,-2.564,0.004
Tca01g01555.t1,-0.031,-2.442,0.004
Tca01g01556.t1,-0.038,-0.125,0.005
Tca01g01557.t1,-0.047,-13.122,0.004
Tca01g01558.t1,-0.063,-3.833,0.006
Tca01g01558.t2,-0.069,-6.264,0.007
Tca01g01559.t1,-0.034,-5.416,0.004
Tca01g01560.t1,-0.013,-8.719,0.002
Tca01g01561.t1,-0.001,-7.811,0.007
Tca01g01562.t1,-0.028,-11.072,0.002
Tca01g01563.t1,-0.052,-7.478,0.007
Tca01g01564.t1,-0.026,-5.87,0.007
Tca01g01566.t1,-0.05,-14.149,0.003
Tca01g01567.t1,-0.029,-2.25,0.003
Tca01g01568.t1,-0.038,-4.349,0.003
Tca01g01568.t2,-0.042,-3.648,0.002
